WR,N,on_shell_count,off_shell_count,offshell_below99_count
5500,900,3469,1531,1213
5000,4500,4468,532,9
5000,3500,4486,514,7
5000,4200,4484,516,10
5000,4400,4458,542,7
5000,4300,4455,545,10
5500,1500,4092,908,504
5000,3800,4489,511,9
5000,4600,4493,507,5
5500,300,2391,2609,2377
5500,1800,4286,714,313
5500,500,2799,2201,1940
5000,4700,4443,557,8
5000,4900,4447,553,3
5000,4000,4499,501,9
5000,4100,4497,503,8
5500,200,2201,2799,2587
5500,400,2576,2424,2177
5500,600,3025,1975,1686
5500,1400,4008,992,598
5000,4800,4475,525,2
5000,3400,4487,513,9
5500,100,1974,3026,2842
5500,2500,4578,422,49
5500,700,3148,1852,1533
5500,1900,4382,618,240
5500,1300,3893,1107,712
5500,2000,4413,587,200
5500,2300,4483,517,96
5500,2100,4447,553,167
5500,800,3304,1696,1378
5500,1000,3579,1421,1058
5500,2800,4575,425,28
5500,3800,4537,463,6
5500,3600,4596,404,8
5500,4200,4575,425,8
5500,1100,3721,1279,911
5500,1700,4246,754,362
5500,1200,3842,1158,798
5500,4500,4595,405,5
5500,1600,4183,817,407
5500,2400,4506,494,74
5500,4600,4638,362,4
5500,2200,4511,489,117
5500,2700,4615,385,20
5500,3300,4589,411,9
5500,2600,4581,419,33
5500,2900,4591,409,19
5500,3900,4603,397,8
5500,3400,4616,384,8
5500,3500,4605,395,7
5500,3000,4619,381,8
5500,3100,4631,369,5
5500,3200,4575,425,6
5500,4300,4597,403,4
5500,4100,4603,397,10
5500,3700,4583,417,6
5500,4000,4594,406,7
5500,4400,4593,407,4
5500,4700,4556,444,6
5500,4800,4571,429,3
5500,5000,4583,417,8
5500,5200,4571,429,5
5500,4900,4582,418,6
6000,100,1691,3309,3198
5500,5300,4574,426,2
5500,5100,4558,442,4
6000,200,1869,3131,2977
5500,5400,4518,482,5
6000,300,2103,2897,2747
6000,400,2325,2675,2487
6000,1100,3471,1529,1219
6000,700,2893,2107,1847
6000,500,2522,2478,2275
6000,800,3059,1941,1690
6000,600,2628,2372,2136
6000,900,3180,1820,1568
6000,1700,4184,816,504
6000,1500,3994,1006,694
6000,1000,3395,1605,1310
6000,1200,3620,1380,1060
6000,1600,4063,937,589
6000,1900,4255,745,399
6000,1300,3704,1296,985
6000,1400,3853,1147,819
6000,1800,4261,739,430
6000,2400,4526,474,133
6000,2000,4321,679,326
6000,3400,4606,394,4
6000,2700,4577,423,65
6000,3200,4625,375,16
6000,2100,4391,609,240
6000,2800,4586,414,44
6000,3700,4657,343,4
6000,2500,4555,445,107
6000,4000,4631,369,5
6000,3800,4636,364,7
6000,3100,4623,377,24
6000,3000,4629,371,27
6000,2600,4567,433,89
6000,4500,4643,357,2
6000,2300,4481,519,186
6000,3300,4616,384,12
6000,3500,4637,363,5
6000,4700,4643,357,4
6000,4600,4641,359,7
6000,3600,4616,384,2
